ride_date,num_rides,avg_duration_min,day,day_of_week,month,obs_date,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
2013-11-05,31493,12.214110013865517,5,Tuesday,11,2013-11-05,46.8,55.0,34.0,6.7,0.0
2013-09-07,34419,17.37581810434159,7,Saturday,9,2013-09-07,68.3,79.0,57.0,6.5,0.0
2013-12-25,3260,13.754074642126788,25,Wednesday,12,2013-12-25,25.6,42.1,19.0,10.3,0.0
2013-12-11,18766,11.960985292550358,11,Wednesday,12,2013-12-11,30.7,39.0,27.0,13.2,0.22
2013-08-08,28366,14.319887071376533,8,Thursday,8,2013-08-08,75.0,82.0,71.1,9.1,0.16
2013-09-10,36954,14.481477873392144,10,Tuesday,9,2013-09-10,74.8,88.0,57.9,8.8,0.0
2013-12-13,17888,12.056676729278475,13,Friday,12,2013-12-13,28.2,35.1,23.0,13.0,0.0
2013-12-16,15562,11.222348241442829,16,Monday,12,2013-12-16,31.0,39.0,26.1,12.0,0.77
2013-10-31,31444,12.928038735529826,31,Thursday,10,2013-10-31,59.3,66.9,48.0,6.2,0.0
2013-07-21,30297,18.70789902190536,21,Sunday,7,2013-07-21,82.2,95.0,77.0,7.6,0.0
2013-11-16,25194,15.311708475562964,16,Saturday,11,2013-11-16,51.9,59.0,43.0,5.5,0.03
2013-11-27,7976,11.025576730190568,27,Wednesday,11,2013-11-27,48.0,60.1,34.0,13.7,1.91
2013-10-06,26574,14.68550901884047,6,Sunday,10,2013-10-06,66.5,73.0,64.0,7.6,0.01
2013-09-02,21416,16.858852415639397,2,Monday,9,2013-09-02,76.9,80.6,71.6,4.8,0.0
2013-09-21,31826,17.045906910492466,21,Saturday,9,2013-09-21,67.4,78.1,61.0,9.4,0.0
2013-12-31,10424,13.239233179841394,31,Tuesday,12,2013-12-31,26.0,44.1,21.0,9.9,0.0
2013-07-19,26591,14.671052862497335,19,Friday,7,2013-07-19,92.5,100.0,82.9,8.9,0.0
2013-11-19,27417,11.477858019963284,19,Tuesday,11,2013-11-19,48.3,64.9,41.0,16.8,0.23
2013-11-09,21734,14.408419220269314,9,Saturday,11,2013-11-09,44.3,50.0,39.9,10.3,0.0
2013-10-23,32365,12.022630413512536,23,Wednesday,10,2013-10-23,52.8,68.0,50.0,7.8,0.0
2013-09-06,35868,14.809940150923758,6,Friday,9,2013-09-06,64.8,77.0,57.0,7.5,0.0
2013-08-29,34215,14.31313556432364,29,Thursday,8,2013-08-29,74.6,84.9,71.1,7.3,0.0
2015-12-27,13177,21.124116516151886,27,Sunday,12,2015-12-27,52.4,62.6,46.0,6.8,0.14
2015-04-08,17872,13.84869068934646,8,Wednesday,4,2015-04-08,43.0,57.0,39.9,12.3,0.16
2015-09-12,33661,19.277701692364072,12,Saturday,9,2015-09-12,74.6,81.0,66.0,7.2,0.0
2015-08-19,40726,15.054147637054134,19,Wednesday,8,2015-08-19,80.2,89.1,75.9,9.6,0.0
2015-06-02,11984,11.23334445927904,2,Tuesday,6,2015-06-02,52.0,57.9,50.0,10.2,0.47
2015-08-21,38038,14.394969504180027,21,Friday,8,2015-08-21,78.7,87.1,71.1,9.1,0.32
2015-03-20,8052,11.094823232323233,20,Friday,3,2015-03-20,34.4,42.1,28.9,8.4,0.0
2015-04-21,24868,16.30488110557075,21,Tuesday,4,2015-04-21,57.4,66.9,45.0,9.0,0.95
2015-07-07,36837,14.438571273447888,7,Tuesday,7,2015-07-07,79.5,88.0,71.1,9.2,0.0
2015-12-18,30704,14.703712328469688,18,Friday,12,2015-12-18,51.1,59.0,43.0,9.6,0.88
2015-11-11,37705,14.9378110772223,11,Wednesday,11,2015-11-11,53.2,59.0,50.0,12.7,0.5
2015-06-27,15485,15.897769884834789,27,Saturday,6,2015-06-27,69.0,80.1,62.1,8.5,0.0
2015-06-30,38087,14.458011044888456,30,Tuesday,6,2015-06-30,75.3,82.0,64.0,9.5,0.0
2015-05-24,25151,21.73567518852796,24,Sunday,5,2015-05-24,65.7,81.0,50.0,8.7,0.0
2015-11-04,49487,16.94128154868956,4,Wednesday,11,2015-11-04,61.5,73.0,51.1,3.6,0.0
2015-03-09,14878,12.643708831832232,9,Monday,3,2015-03-09,44.9,54.0,35.1,6.5,0.02
2015-09-16,51179,16.262160586698972,16,Wednesday,9,2015-09-16,76.8,87.1,64.9,2.7,0.0
2015-07-15,34979,14.368374834424465,15,Wednesday,7,2015-07-15,75.9,81.0,71.1,6.5,0.95
2015-04-04,14355,15.031241147103216,4,Saturday,4,2015-04-04,52.0,63.0,46.9,14.3,0.04
2015-09-10,22253,12.542506628319773,10,Thursday,9,2015-09-10,75.3,89.1,72.0,8.5,0.66
